,약용식물분포설명,약용식물복용방법설명,약용식물효과설명,약용식물번호,약용식물전경이미지URL,약용식물약재명,약용식물종명,약용식물이용부위이미지URL,약용식물이용이미지URL,식물분류명,식물생태설명,식물과명,식물종학명,이용방법설명
107,"한국(전국), 중국",(내복): 탕전(湯煎)하거나 환제 또는 산제로 복용한다. (외용): 짓찧어 상처 부위에 사용한다.,"경혈, 기관지염, 볼거리염, 사태, 산어, 소종, 악창, 안태, 옹종, 외음부부종, 요도염, 유즙 결핍, 음부부종, 이수, 이하선염, 임질, 종기, 진통, 치질출혈, 타박상, 통리수도, 통림, 해독, 화상",267,http://api.forest.go.kr/openapi/image/2015267/20152671.jpg,황촉규근(黃蜀葵根),닥풀,http://api.forest.go.kr/openapi/image/2015267/20152672.jpg,http://api.forest.go.kr/openapi/image/2015267/20152673.jpg,피자식물/쌍자엽식물,한지 제지용으로 재배하는 일년초로 높이가 1∼1.5m이고 가지가 없다. 잎은 호생하며 잎자루가 길고 열 편은 피침형 또는 도피침형이고 윗부분에 톱니가 있다. 꽃은 연한 황색으로 8∼9월에 원줄기 끝에 총상으로 달린다. 열매는 삭과로 장타원형이며 5개의 둔한 능선과 털이 있다.,아욱과(Malvaceae),Hibiscus manihot L.,뿌리를 가을에 채취하여 햇볕에 말린다.
108,"한국(전국), 중국","(내복): 탕전(湯煎)하거나, 환제 또는 산제로 복용한다. (외용): 물로 달여 상처부위에 김을 쐬고 닦아 내거나, 고를 만들어 바른다.","간염, 강장, 강장보호, 건위, 관절통, 급성간염, 낙태, 부인병, 산전후통, 소아경간, 양혈소옹, 월경이상, 자궁출혈, 종독, 종창, 진정, 진통, 청심제번, 타태, 탈모증, 통경, 혈폐, 협심증, 활혈, 활혈거어",371,http://api.forest.go.kr/openapi/image/2015371/20153711.jpg,단삼(丹蔘),단삼,http://api.forest.go.kr/openapi/image/2015371/20153712.jpg,http://api.forest.go.kr/openapi/image/2015371/20153713.jpg,피자식물/쌍자엽식물,약용으로 재배하는 다년초로서 높이 40∼80㎝이고 전체에 털이 많다. 잎은 대생하고 단엽 또는 2회 우상복엽이며 소엽은 피침형이고 예두이며 뒷면에 털이 밀생한다. 꽃은 자주색으로 5∼6월에 층층으로 달리며 꽃대 축에 선모가 밀생한다. ☞ 둥근배암차즈기와는 식물체에 털이 많아 구분된다.,꿀풀과(Labiatae),Salvia miltiorrhiza Bunge,뿌리를 늦가을에 채취하여 햇볕에 말린다.
109,"한국(중남부), 일본","(내복): 탕전(湯煎)하거나 환제로 복용한다. (외용): 짓찧어 상처 부위에 붙이거나, 가루를 내어 뿌리거나 개어 바른다.","갑상샘종, 강장 보호, 거풍제습, 건위, 건위강장, 경선결핵, 기관지염, 만성기관지염, 만성 요통, 몽정, 소영, 소화불량, 양모발약, 열질, 오십견, 옹종, 요통, 유옹, 유종, 자양강장, 자양 보로, 종독, 지사, 지해거담, 토담, 토혈 각혈, 통리수도, 폐기천식, 해독, 해라, 허약체질 등",528,http://api.forest.go.kr/openapi/image/2015528/20155281.jpg,천산룡(穿山龍),단풍마,http://api.forest.go.kr/openapi/image/2015528/20155282.jpg,http://api.forest.go.kr/openapi/image/2015528/20155283.jpg,피자식물 / 단자엽식물,"산에 자라는 덩굴성 다년초로서 돌기 같은 털이 있고 뿌리가 굵으며 옆으로 자란다. 잎은 호생하고 손바닥 모양으로 5∼9개로 갈라지며 심장 저이고 잎살 중에는 침 같은 결정이 있다. 꽃은 2가화로서 6∼7월에 잎겨드랑이에 꽃송이가 자라고 소화가 많이 달린다. 열매는 삭과로서 3개의 날개가 있다.
 ☞ 부채마에 비해 잎겨드랑이에 돌기가 있어 구분된다.",마과(Dioscoreaceae),Dioscorea quinqueloba Thunb.,덩이줄기를 가을에 채취하여 햇볕에 말린다.
110,"한국(중남부), 중국, 일본, 러시아",(내복): 탕전(湯煎)하여 복용한다.,"개선, 몽정, 비암, 살충, 설사, 소곡, 심장염, 온중, 요삽, 종독, 진통, 폐렴, 하기, 하리, 해독, 후종.",496,http://api.forest.go.kr/openapi/image/2015496/20154961.jpg,해백(薤白),달래,http://api.forest.go.kr/openapi/image/2015496/20154962.jpg,http://api.forest.go.kr/openapi/image/2015496/20154963.jpg,피자식물 / 단자엽식물,"산야에 자라는 다년초로서 높이 5∼12㎝이다. 비늘줄기는 넓은 난형이며 외피는 두껍고 물결같이 꾸불꾸불한 횡 세포로 된다. 잎은 1∼2개이며 선형이고 단면은 초승달 모양이다. 꽃은 백색 또는 붉은 빛이 도는 백색으로 4∼5월에 핀다. 열매는 삭과로 둥글다.
 ☞ 산 달래에 비해 전체가 소형이고 잎이 화경보다 길다.",백합과(Liliaceae),Allium monanthum Maxim.,비늘줄기를 채취하여 말린다.
111,"한국(전국), 남아메리카",(내복): 탕전(湯煎)하여 복용한다. (외용): 짓찧어 상처 부위에 붙인다.,"감기, 고혈압, 기관지염, 당뇨, 신장염, 인후염, 인후 통증, 피부염, 해열, 화농, 화종",292,http://api.forest.go.kr/openapi/image/2015292/20152921.jpg,월하향(月下香),달맞이꽃,http://api.forest.go.kr/openapi/image/2015292/20152922.jpg,http://api.forest.go.kr/openapi/image/2015292/20152923.jpg,피자식물/쌍자엽식물,"남미 원산으로 이년 초이며 높이 50∼90㎝이고 굵고 곧은 뿌리에서 원줄기가 나온다. 잎은 호생하고 좁은 피침형이며 끝이 뾰족하고 가장자리에 얕은 톱니가 있다. 꽃은 황색으로 7월에 잎겨드랑이에 1개씩 달리며 저녁에 피었다가 아침에 시든다. 열매는 삭과로 4개로 갈라지고 종자가 젖으면 점액이 나온다.
 ☞ 큰달맞이꽃에 비해 잎이 좁고 짙은 녹색이며 꽃이 작다.",바늘꽃과(Onagraceae),Oenothera biennis L.,"뿌리와 전초를 봄, 여름에 채취하여 햇볕에 말린다."
112,"한국(전국), 중국, 일본, 러시아, 대만","(내복): 탕전(湯煎)하거나, 즙을 내어 복용한다. (외용): 짓찧어 상처 부위에 붙인다.","간염, 감기, 거어, 결막염, 곽란, 당뇨, 옹종, 이질, 인후 통증, 적면증, 조갈증, 종기, 종독, 지혈, 청열, 치열, 타박상, 토혈, 통리수도, 폐기천식, 해독, 혈뇨, 협심증, 토혈 각혈, 혈뇨, 혈변, 황달",490,http://api.forest.go.kr/openapi/image/2015490/20154901.jpg,압척초(鴨跖草),닭의장풀,http://api.forest.go.kr/openapi/image/2015490/20154902.jpg,http://api.forest.go.kr/openapi/image/2015490/20154903.jpg,피자식물 / 단자엽식물,"들에 자라는 일년생 잡초로 높이 15∼50㎝이고 밑부분이 옆으로 비스듬히 자란다. 잎은 호생하며 마디가 굵고 난상 피침형이고 잎집은 입구에 긴 털이 있다. 꽃은 7∼8월에 잎겨드랑이에서 나온 꽃줄기 끝에 포로 싸인다. 열매는 삭과로 타원형이고 마르면 3개로 갈라진다.
 ☞ 사마귀풀 속보다 꽃이 총포로 싸이며 수술대에 털이 없다.",닭의장풀과(Commelinaceae),Commelina communis L.,전초를 꽃이 필 때 채취하여 햇볕에 말린다.
113,"한국(중남부), 남아메리카","(내복): 탕전(湯煎)하여 복용한다. (외용): 물로 달여 상처부위를 닦아 내거나, 가루를 내어 상처부위에 개어 붙인다.","개선, 버짐, 악창, 옴, 옹종, 완선, 제충제, 종기, 진통, 통기, 해독살충, 행기지통",379,http://api.forest.go.kr/openapi/image/2015379/20153791.jpg,연초(煙草),담배,http://api.forest.go.kr/openapi/image/2015379/20153792.jpg,http://api.forest.go.kr/openapi/image/2015379/20153793.jpg,피자식물/쌍자엽식물,재배하는 1년 초로서 높이 1.5∼2m이며 선모가 있으며 끈적끈적하다. 잎은 호생하고 타원형이고 끝이 뾰족하며 밑은 둥글고 가장자리는 밋밋하다. 꽃은 연한 홍색으로 7∼8월에 원줄기 끝에 큰 원추화서로 달린다. 열매는 삭과로 난형으로서 꽃받침으로 싸여 있으며 많은 종자가 들어 있다.,가지과(Solanaceae),Nicotiana tabacum L.,"잎을 여름, 가을에 채취하여 햇볕이나 화력으로 말린다."
114,"한국(전국), 중국, 일본, 러시아, 유럽","(내복): 탕전(湯煎)하거나, 환제 또는 가루약으로 복용한다. (외용): 짓찧어 상처 부위에 붙이거나, 물로 달여서 닦아낸다.
 ☞ 충충에 의한 복통이 아니면 복용을 금한다.","간염, 거담, 구충, 급성간염, 살충, 소아 경풍, 악창, 종창, 지혈, 청열, 치핵, 타박상, 피부소양증, 학질, 해독, 해열, 활혈",436,http://api.forest.go.kr/openapi/image/2015436/20154361.jpg,학슬(鶴蝨),담배풀,http://api.forest.go.kr/openapi/image/2015436/20154362.jpg,http://api.forest.go.kr/openapi/image/2015436/20154363.jpg,피자식물/쌍자엽식물,산기슭의 숲 가장자리에 자라는 이년 초로 높이 50∼100㎝이고 뿌리는 방추형이다. 잎은 호생하며 밑부분의 것은 타원형이고 끝이 둔하며 뒷면에 선점이 있고 가장자리에 치아상 톱니가 있다. 꽃은 황색으로 8∼9월에 잎겨드랑이에 이삭처럼 달린다. 열매는 수과로 선점하고 부리가 있다.,국화과(Compositae),Carpesium abrotanoides L.,성숙한 열매를 가을에 채취하여 햇볕에 말린다.
115,"한국(전국), 중국, 일본, 러시아, 대만",(내복): 탕전(湯煎)하여 복용한다.,"거풍, 경혈, 구건, 구창, 근골동통, 금창, 이완출혈, 제습, 종기, 종창, 종통, 지구역, 지통, 지혈, 치통, 통경, 편두통, 피부염, 허약체질, 활혈.",263,http://api.forest.go.kr/openapi/image/2015263/20152631.jpg,지금(地錦),담쟁이덩굴,http://api.forest.go.kr/openapi/image/2015263/20152632.jpg,http://api.forest.go.kr/openapi/image/2015263/20152633.jpg,피자식물/쌍자엽식물,"돌담이나 나무줄기에 붙어 자라는 낙엽 덩굴식물로 길이가 10m 이상 벋고 덩굴손은 잎과 대생한다. 잎은 호생하고 넓은 난형이며 점 첨두 신장 저이고 불규칙한 톱니가 있다. 꽃은 황록색으로 6∼7월에 잎겨드랑이에 취산화서로 달린다. 열매는 장과로 둥글며 8∼10월에 흑색으로 익는다.
 ☞ 개머루 속에 비해 덩굴 속 끝에 흡반이 있다.",포도과(Vitaceae),Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,뿌리·줄기를 채취하여 햇볕에 말린다.
116,"한국(중북부), 중국, 러시아, 몽고",(내복): 탕전(湯煎)하거나 가루약으로 복용한다. (외용): 가루 내어 상처부위에 뿌린다.,"간 기능회복, 간장염, 건위, 고비, 변비, 사하, 안질, 옹종, 음낭습, 일체안병, 림프절염, 장염, 장위카타르, 진해, 폐렴, 하리, 해독, 해열, 황달",108,http://api.forest.go.kr/openapi/image/2015108/20151081.jpg,소벽(小蘗),당매자나무,http://api.forest.go.kr/openapi/image/2015108/20151082.jpg,http://api.forest.go.kr/openapi/image/2015108/20151083.jpg,피자식물/쌍자엽식물,낙엽관목으로 높이가 2m에 달하고 가지에 털이 없으며 다소 능선이 진다. 잎은 어긋나기하고 도피침형으로 예두 또는 요두이며 예저이고 표면은 녹색이며 뒷면은 회록색이고 가장자리가 밋밋하다. 꽃은 황색이고 짧은 가지에 총상화서로 달린다. 열매는 장과로 타원형이고 적색으로 익는다. ☞ 매발톱나무와 매자나무보다 잎이 도피침형이고 톱니가 거의 없다.,매자나무과(Berberidaceae),Berberis poiretii C.K.Schneid.,가지와 뿌리를 가을부터 봄에 채취하여 햇볕에 말린다.
117,"한국(전국), 중국, 일본","(내복): 탕전(湯煎)하거나 환제 또는 산제로 복용한다.
 ☞ 허약한 사람이 먹으면 토혈하기도 한다.","당뇨, 발한, 백선, 사독, 사하 축수, 소종산결, 악성종양, 옹종, 이뇨, 임질, 임파선염, 제습, 종독, 진통, 치통, 통경, 풍습, 흉통",233,http://api.forest.go.kr/openapi/image/2015233/20152331.jpg,대극(大戟),대극,http://api.forest.go.kr/openapi/image/2015233/20152332.jpg,http://api.forest.go.kr/openapi/image/2015233/20152333.jpg,피자식물/쌍자엽식물,"산야에 자라는 다년초로 높이가 80㎝에 달하고 뿌리가 굵으며 곧추 자란다. 잎은 호생하고 둔 두 또는 예두이고 예저이며 뒷면은 흰빛이 돌고 가장자리에 잔 톱니가 있다. 꽃은 녹황색으로 6월에 원줄기 끝에 달린다. 열매는 삭과로 사마귀 같은 돌기가 있으며 종자는 넓은 타원형이며 겉은 밋밋하다.
 ☞ 참대 극에 비해 포엽이 황색을 띠며 가장자리가 밋밋하다.",대극과(Euphorbiaceae),Euphorbia pekinensis Rupr.,뿌리를 봄과 가을에 채취하여 햇볕에 말린다.
118,"한국(전국), 중국",(내복): 탕전(湯煎)하거나 가루약으로 복용한다,"간장보호, 가래약, 골증, 골증열, 식은땀, 소아경간, 소아오감, 절옹, 청감열, 퇴허열, 학질, 해열, 허로",76,http://api.forest.go.kr/openapi/image/2015076/20150761.jpg,은시호(銀柴胡),대나물,http://api.forest.go.kr/openapi/image/2015076/20150762.jpg,http://api.forest.go.kr/openapi/image/2015076/20150763.jpg,피자식물/쌍자엽식물,"산야에 자라는 다년초로 높이 50∼100㎝이고 뿌리가 굵고 전체에 털이 없다. 잎은 마주나기 하며 피침형으로서 3개의 잎맥이 뚜렷하고 끝이 뾰족하며 가장자리가 밋밋하다. 꽃은 흰 꽃으로 6∼7월에 가지 끝에 산방상 취산화서에 많이 달린다. 열매는 튀는열매로 둥글며 4개로 갈라진다.
 ☞가는대나물에 비해 잎은 피침형으로 기부는 가늘어 지고 꽃이 백색이다.",석죽과(Caryophyllaceae),Gypsophila oldhamiana Miq.,뿌리를 가을에 채취하여 잔뿌리를 제거하여 햇볕에 말린다.
119,"한국(전국), 중국",(내복): 탕전(湯煎)하거나 환제로 복용한다.,"감기, 강심제, 건망증, 건 위, 경련, 고혈압, 골절, 과로, 과민성대장증후군, 구취, 급성간염, 기관지염, 기력증진, 만성피로, 목소양증, 부자중독, 소아천식, 신경쇠약, 요통, 위경련, 위장염, 유즙 결핍, 임파선염, 진정, 진통, 축농증, 허약체질, 호흡기질환, 후두염, 흉부냉증 등",261,http://api.forest.go.kr/openapi/image/2015261/20152611.jpg,대조(大棗),대추나무,http://api.forest.go.kr/openapi/image/2015261/20152612.jpg,http://api.forest.go.kr/openapi/image/2015261/20152613.jpg,피자식물/쌍자엽식물,"마을 근처에 자라는 낙엽교목으로 높이가 10m에 달하고 가지 끝과 잎 뒷면에 털이 약간 있다. 잎은 호생하고 난형이며 윤채가 있고 예두 또는 둔두이며 원저이고 가장자리에 둔한 톱니가 있다. 꽃은 연한 녹색으로 5∼6월에 취산화서로 달린다. 열매는 핵과로 타원형이고 과육이 많다.
 ☞ 묏대추에 비해 키가 크고 가시는 흔적뿐이며 과실이 크다.",갈매나무과(Rhamnaceae),Zizyphus jujuba var. inermis (Bunge) Rehder,과실 성숙기에 채취하여 햇볕에 말린다.
120,"한국(전국), 아시아, 유럽, 북아메리카","(내복): 탕전(湯煎)하여 복용한다. (외용): 짓찧어 상처 부위에 붙이거나, 물로 달여 상처 부위를 닦아낸다.","강장, 개선, 과실식체, 과실중독, 난관난소염, 대하, 동통, 명목, 목통, 보약, 수은중독, 악창, 유선염, 음낭습, 음부소양, 발기불능, 이뇨, 이소변, 임질, 적리, 적백리, 전립선비대증, 종독, 청습열, 통리수도, 흉통",66,http://api.forest.go.kr/openapi/image/2015066/20150661.jpg,지부자(地膚子),댑싸리,http://api.forest.go.kr/openapi/image/2015066/20150662.jpg,http://api.forest.go.kr/openapi/image/2015066/20150663.jpg,피자식물/쌍자엽식물,"들에 자라는 1년초로 높이가 1m에 달하고 곧추 자라며 가지가 많이 갈라진다. 잎은 어긋나기하고 피침형으로 양 끝이 좁고 가장자리가 밋밋하며 3맥이 있다. 꽃은 7∼8월 잎겨드랑이에 몇 개씩 달린다. 열매는 포과로 원반형으로 끝에 암술대가 달리고 그 속에 종자가 1개 들어있다.
 ☞ 좀명아주보다 키가 크고 잎에 불규칙한 톱니가 있다.",명아주과(Chenopodiaceae),Kochia scoparia (L.) Schrad.,가을철 과실성숙기에 전주를 베어 햇볕에 말려 수집한다.
121,"한국(전국), 중국, 일본, 러시아","(내복): 탕전(湯煎)하거나, 가루 내어 복용한다. (외용): 짓찧어 상처부위에 붙이거나, 물로 달여서 상처부위를 닦아낸다","강장보호, 거담, 건위, 경련, 경풍, 고혈압, 고환염, 보익, 보폐, 소종배농, 식도암, 안오장, 옹종, 유방암, 유선염, 유즙결핍, 음낭습, 음부질병, 음양음창, 인후염, 임파선염, 정력증진, 제습, 천식, 최유, 편도선염, 폐기천식, 폐혈, 풍한, 피부노화방지, 후두염, 건비위, 흉통 등",423,http://api.forest.go.kr/openapi/image/2015423/20154231.jpg,양유(羊乳),더덕,http://api.forest.go.kr/openapi/image/2015423/20154232.jpg,http://api.forest.go.kr/openapi/image/2015423/20154233.jpg,피자식물/쌍자엽식물,숲에 자라는 다년생 덩굴식물로서 길이 2m에 달하고 털이 없고 자르면 유액이 나온다. 잎은 호생하며 가지 끝에서는 4개의 잎이 서로 근접하여 모여달린 것 같고 피침형 또는 장타원형이다. 꽃은 8∼9월에 가지 끝에 밑을 향해 달리며 꽃받침은 5개로 갈라진다. ☞ 만삼에 비해 뿌리가 굵으며 잎이 모여 난다.,초롱꽃과(Campanulaceae),Codonopsis lanceolata (Siebold & Zucc.) Trautv.,뿌리를 가을에 채취하여 햇볕에 말린다.
122,"한국(전국), 중국, 일본, 러시아, 인도, 유럽, 아메리카","(내복): 탕전(湯煎)하거나, 즙을 내어 복용한다. (외용): 물로 달이거나 짓찧어 상처 부위를 닦아내거나 붙인다.","간염, 감기, 견교독, 급성간염, 기관지염, 복통, 상처, 설사, 소종, 이질, 정종, 창종, 청열, 충독, 타박상, 학질, 해독, 해열, 황달",434,http://api.forest.go.kr/openapi/image/2015434/20154341.jpg,귀침초(鬼針草),도깨비바늘,http://api.forest.go.kr/openapi/image/2015434/20154342.jpg,http://api.forest.go.kr/openapi/image/2015434/20154343.jpg,피자식물/쌍자엽식물,"산야에 자라는 일년초로 높이 25∼85㎝이고 원줄기는 네모가 지고 털이 약간 있다. 잎은 대생하고 2회 우상으로 갈라지며 올라갈수록 작아진다. 꽃은 황색으로 8∼9월에 원줄기 끝에 달린다. 열매는 수과로 선형이고 능선과 짧은 털이 있으며 편평하다.
 ☞ 털도깨비바늘보다 잎이 2회 우열하며 정열편이 좁고 길게 뾰족하다.",국화과(Compositae),Bidens bipinnata L.,"전초를 꽃이 필 때 채취하여 햇볕에 말리거나, 생것을 쓴다."
123,"한국(중부이북), 중국, 일본",(내복): 탕전(湯煎)하여 복용한다. (내복): 짓찧어 상처 부위에 바른다.,"거풍습, 관절염, 월경불순, 타박상, 해열, 활혈조경",144,http://api.forest.go.kr/openapi/image/2015144/20151441.jpg,"반룡칠(盤龍七), 암타(巖陀)",도깨비부채,http://api.forest.go.kr/openapi/image/2015144/20151442.jpg,http://api.forest.go.kr/openapi/image/2015144/20151443.jpg,피자식물/쌍자엽식물,심산의 응달에 자라는 다년초로 높이가 1m에 달한다. 잎은 장상복엽이며 뿌리에 돋은 잎은 잎자루가 길고 윗부분의 것은 1∼4개의 소엽이 된다. 소엽은 도란형이고 얕게 갈라지며 불규칙한 톱니가 있다. 꽃은 황백색으로 6∼7월에 핀다. 열매는 튀는열매로 넓은 난형이다. ☞ 개병풍보다 잎이 장상복엽이다.,범의귀과(Saxifragaceae),Rodgersia podophylla A.Gray,뿌리줄기를 채취하여 햇볕에 말린다.
124,"한국(전국), 중국, 일본, 러시아, 몽고, 유럽","(내복): 탕전(湯煎)하거나, 환제 또는 가루약으로 복용한다. (외용): 물로 달여 상처 부위를 닦아낸다.","간열, 감창, 강직성 척추관절염, 거품 대변, 고혈압, 관절염, 근골동통, 금창, 나력, 두통, 매독, 명목, 발한, 사지 경련, 연주창, 열독증, 음부질병, 자궁냉증, 장티푸스, 중풍, 진통, 축농증, 치조농루, 치질, 치통, 태독, 통리수도, 편도선염, 풍, 풍비, 피부소양증, 해독, 해열 등",463,http://api.forest.go.kr/openapi/image/2015463/20154631.jpg,창이자(蒼耳子),도꼬마리,http://api.forest.go.kr/openapi/image/2015463/20154632.jpg,http://api.forest.go.kr/openapi/image/2015463/20154633.jpg,피자식물/쌍자엽식물,"들이나 길가에 자라는 다년초로서 높이 1m에 달하고 잎과 더불어 털이 있다. 잎은 호생하며 잎자루가 길고 넓은 3각형이고 예두이며 심장저이고 결각상 톱니가 있다. 꽃은 황색으로 8∼9월에 원줄기와 가지 끝에 원추상으로 달린다. 열매는 수과로 넓은 타원형이다.
 ☞ 큰도꼬마리보다 총포가 작고 보다 작은 가시가 엉성하게 부착된다.",국화과(Compositae),Xanthium strumarium L.,과실 성숙기에 종자를 채취하여 햇볕에 말린다.
125,"한국(전국), 중국, 일본, 러시아","(내복): 탕전(湯煎)하거나, 즙을 내어 복용한다. (외용): 짓찧어 상처부위에 붙이거나, 즙을 내어 바른다.","감기, 거담, 고혈압, 골절, 기관지염, 늑막염, 담, 배농, 보익, 복통, 선폐거담, 소아 해열, 실뇨, 옹종, 위산과다증, 인후 통증, 임파선염, 종기, 종독, 지혈, 진정, 진통, 척추질환, 천식, 치핵, 탄산 토산, 토혈 각혈, 편도선염, 폐결핵, 폐기천식, 폐혈, 해소, 해열, 후두염 등",425,http://api.forest.go.kr/openapi/image/2015425/20154251.jpg,길경(桔梗),도라지,http://api.forest.go.kr/openapi/image/2015425/20154252.jpg,http://api.forest.go.kr/openapi/image/2015425/20154253.jpg,피자식물/쌍자엽식물,산야에 자라는 다년초로서 높이 40∼100㎝이고 뿌리가 굵으며 자르면 유액이 나온다. 잎은 장난형 또는 넓은 피침형으로 끝이 뾰족하다. 꽃은 하늘색 또는 백색으로 7∼8월 원줄기 끝에 1개 또는 여러 개가 위를 향해 핀다. 열매는 삭과로 꽃받침이 달려 있다. ☞ 애기도라지에 비해 심피가 꽃받침 조각 및 수술과 호생한다.,초롱꽃과(Campanulaceae),Platycodon grandiflorum (Jacq.) A.DC.,뿌리를 가을부터 봄에 채취하여 외피를 벗기고 햇볕에 말린다.
126,"한국(전국), 열대아메리카","(내복): 탕전(湯煎)하거나, 산제로 복용한다. ☞ 독성이 강함으로 복용에 주의해야 한다.","각기, 간염, 간질, 간허, 감기, 경련, 경풍, 나병, 마취, 소아 경풍, 월경이상, 장염, 진경, 진정, 진통, 천식, 탈항, 폐기천식, 히스테리",377,http://api.forest.go.kr/openapi/image/2015377/20153771.jpg,"양금화(洋金花), 만다라(曼陀羅)",독말풀,http://api.forest.go.kr/openapi/image/2015377/20153772.jpg,http://api.forest.go.kr/openapi/image/2015377/20153773.jpg,피자식물/쌍자엽식물,재배하는 일년초로서 높이 1∼2m이고 굵은 가지가 많이 갈라지며 자줏빛이 돈다. 잎은 호생하며 난상이고 예두 또는 원두이며 예저이고 결각상 톱니가 있다. 꽃은 연한 자주색으로 8∼9월에 나팔꽃 모양으로 핀다. 열매는 삭과로 난형이며 표면에 가시 같은 돌기가 밀생한다. ☞ 흰독말풀에 비해 줄기가 자색을 띠고 꽃은 연한 자색으로 작다.,가지과(Solanaceae),Datura stramonium var. chalybea W.D.J. Koch.,꽃이 핀 것을 베어서 그늘이나 햇볕에 말린다.
127,"한국(전국), 중국, 일본, 러시아","(내복): 탕전(湯煎)하거나, 환제 또는 산제로 복용한다.","강정, 강장, 거담, 거풍조습, 곽란, 구토, 당뇨, 당뇨병, 대보 원기, 동상, 명안, 보비익폐, 보익, 사기, 생진지갈, 설사, 식욕, 신경쇠약, 신진대사촉진, 암세포살균, 위암, 이뇨, 익기, 천식, 췌장암, 토혈, 파상풍, 해열, 활혈지통",293,http://api.forest.go.kr/openapi/image/2015293/20152931.jpg,독활(獨活),독활,http://api.forest.go.kr/openapi/image/2015293/20152932.jpg,http://api.forest.go.kr/openapi/image/2015293/20152933.jpg,피자식물/쌍자엽식물,"산에 자라는 다년초로 높이 1.5m에 달하고 꽃을 제외한 전체에 짧은 털이 있다. 잎은 호생하고 홀수 2회 우상복엽이며 소엽은 난형 또는 타원형으로 끝이 뾰족하다. 꽃은 7∼8월에 총상으로 갈라진 가지 끝에 산형화서로 달린다. 열매는 둥근 모양의 액과로 9∼10월에 익는다.
 ☞ 두릅나무에 비해 초본이고 가시가 없다.",두릅나무과(Araliaceae),Aralia cordata var. continentalis (Kitag.) Y.C.Chu,뿌리를 가을부터 봄까지 채취하여 햇볕에 말린다.
128,"한국(남부), 중국, 일본, 대만",(내복): 탕전(湯煎)하여 복용한다. (외용): 물로 달여 상처 부위를 닦아 내고 짓찧어 붙인다.,"개선, 결막염, 고혈압, 골절증, 곽란, 관절염, 동맥경화, 소종독, 습진, 이질, 임비, 종독, 치통, 타박상, 피부염",146,http://api.forest.go.kr/openapi/image/2015146/20151461.jpg,칠리향(七里香),돈나무,http://api.forest.go.kr/openapi/image/2015146/20151462.jpg,http://api.forest.go.kr/openapi/image/2015146/20151463.jpg,피자식물/쌍자엽식물,바닷가 산기슭에 자라는 상록관목으로 높이 2∼3m이고 가지에 털이 없으며 뿌리나 껍질에서 냄새가 난다. 잎은 어긋나기하지만 가지 끝에 모여 달리고 윤채가 있으며 혁질이고 둔두이며 예저이다. 꽃은 양성화로 5∼6월에 취산화서에 달린다. 열매는 튀는열매로 원형 또는 넓은 타원형이고 털이 밀생하며 적색 종자가 나온다.,돈나무과(Pittosporaceae),Pittosporum tobira (Thunb.) W.T.Aiton,"가지, 엽과 나무껍질을 연중 채취하여 햇볕에서 말린다."
129,"한국(전국), 중국, 일본",(내복): 탕전(湯煎)하거나 즙을 내어 복용한다. (외용): 짓찧어 상처 부위에 붙인다.,"간장병, 간염, 마른버짐, 기관지염, 대하증, 선혈, 옹종, 인후통증, 종독, 청열소종, 타박상, 해독, 해열, 허혈통, 화상, 황달",139,http://api.forest.go.kr/openapi/image/2015139/20151391.jpg,석지갑(石指甲),돌나물,http://api.forest.go.kr/openapi/image/2015139/20151392.jpg,http://api.forest.go.kr/openapi/image/2015139/20151393.jpg,피자식물/쌍자엽식물,약간 습기 있는 곳에 자라는 다년초로 밑에서 가지가 갈라져서 지면으로 벋고 마디에서 뿌리가 내린다. 잎은 3개씩 돌려나기하며 장타원형 또는 도피침형이고 윗부분이 둔하게 끝나며 가장자리가 밋밋하다. 꽃은 황색으로 피고 5∼6월 꽃자루가 곧추 자라 끝에 꽃이 많이 달린다. 열매는 골돌로 비스듬히 벌어진다. ☞ 화지의 잎이 3엽 돌려나기 또는 드물게 마주나기이다.,돌나물과(Crassulaceae),Sedum sarmentosum Bunge,전초를 봄부터 가을에 채취하여 햇볕에 말린다.
130,"한국(전국), 중국, 일본, 러시아, 대만",(내복): 탕전(湯煎)하여 복용한다.,"거담, 건비. 건비위, 건위, 견비통, 근골동통, 상근, 오십견, 요통, 자양강장, 자한, 타박상, 허약체질, 어지럼",199,http://api.forest.go.kr/openapi/image/2015199/20151991.jpg,야대두등(野大豆藤),돌콩,http://api.forest.go.kr/openapi/image/2015199/20151992.jpg,http://api.forest.go.kr/openapi/image/2015199/20151993.jpg,피자식물/쌍자엽식물,들에 자라는 덩굴성 일년초서 길이가 2m에 달하며 밑으로 향한 갈색 털이 있다. 잎은 어긋나기하고 3개의 소엽과 짧은 털이 있다. 소엽은 타원상 피침형이고 둔두이며 원저 또는 둔저이다. 꽃은 연한 자주색으로 7∼8월에 핀다. 열매는 협과로 약간 구부러지며 종자는 약간 편평하고 작은 콩알과 같다. ☞ 새콩보다 잎이 좁고 길다.,콩과(Leguminosae),Glycine soja Siebold & Zucc.,전초를 가을 개화 후기에 채취하여 햇볕에 말린다.
